asin	title	subtitle	extended_product_description	authors	narrators	series_title	series_sequence	genres	runtime_length_min	is_finished	percent_complete	rating	num_ratings	date_added	release_date	cover_url	purchase_date
0143497421	Mahabharata, Vol. 2 (Part 1)			Bibek Debroy	Sumit Kaul	The Mahabharata	2	Literature & Fiction, Classics	384	False	1.3	4.6	18	2021-01-25T12:43:44.103Z	2020-09-29	https://m.media-amazon.com/images/I/51tPAGgChgL._SL500_.jpg	2021-01-25T12:43:44.103Z
014349743X	Mahabharata Vol 2 (Part 2)			Bibek Debroy	Sumit Kaul	The Mahabharata	2	Literature & Fiction, Classics, Literature & Fiction, Poetry, Themes & Styles, Epic	723	False	0.0	4.6	11	2021-01-26T14:42:11.950Z	2020-12-22	https://m.media-amazon.com/images/I/51tPAGgChgL._SL500_.jpg	2021-01-26T14:42:11.950Z
0143497456	Mahabharata Vol 3 (Part 2)			Bibek Debroy	Sumit Kaul	The Mahabharata	3	Literature & Fiction, Classics, Literature & Fiction, Poetry, Themes & Styles, Epic	408	False	0.0	4.7	7	2021-04-27T13:35:37.574Z	2020-12-09	https://m.media-amazon.com/images/I/51LxVTW7nJL._SL500_.jpg	2021-04-27T13:35:37.574Z
0143500023	The Mahabharata, Volume 1			Bibek Debroy - translator	Gaurav Marwa	The Mahabharata	1	Mystery, Thriller & Suspense, Mystery, Literature & Fiction, Classics	1197	False	0.5	4.3	45	2021-03-29T12:02:54.566Z	2019-07-30	https://m.media-amazon.com/images/I/51iJShu9IxL._SL500_.jpg	2021-03-29T12:02:54.566Z
1405951508	Why Has Nobody Told Me This Before?			Julie Smith	Julie Smith			Health & Wellness, Psychology & Mental Health, Psychology, Health & Wellness, Psychology & Mental Health, Mental Health, Parenting & Relationships, Self-Help, Emotions, Parenting & Relationships, Self-Help, Success	519	False	48.75	4.6	125	2023-04-16T19:13:48.325Z	2022-01-06	https://m.media-amazon.com/images/I/41ph5W1HlsL._SL500_.jpg	2023-04-16T19:13:48.325Z
1469078635	HBR's 10 Must Reads on Negotiation	HBR's 10 Must Reads Series		Harvard Business Review, Daniel Kahneman, Deepak Malhotra, Erin Meyer, Max H. Bazerman	Chloe Cannon, Brian Holden	HBR's 10 Must Reads series		Business & Careers, Management & Leadership, Management, Business & Careers, Management & Leadership, Negotiating, Business & Careers, Management & Leadership, Leadership, Business & Careers, Personal Success, Conflict Resolution, Business & Careers, Personal Success, Decision-Making & Problem Solving	350	False	0.0	4.3	19	2025-03-17T03:06:24.000Z	2019-12-31	https://m.media-amazon.com/images/I/41nx+YhqIPL._SL500_.jpg	2025-03-17T03:06:24.000Z
1473575346	Never Split the Difference	Negotiating as if Your Life Depended on It		Chris Voss, Tahl Raz	Michael Kramer			Business & Careers, Management & Leadership, Negotiating, Business & Careers, Management & Leadership, Forecasting & Strategic Planning, Business & Careers, Personal Success, Meetings & Presentations, Health & Wellness, Psychology & Mental Health, Psychology, Parenting & Relationships, Self-Help, Communication & Social Skills, Parenting & Relationships, Relationships	487	False	0.0	4.7	1445	2023-06-21T07:58:12.666Z	2019-06-20	https://m.media-amazon.com/images/I/41lEyMZPx4L._SL500_.jpg	2023-06-21T07:58:12.666Z
1663710635	Empathy	HBR Emotional Intelligence Series		Harvard Business Review	Daniel Henning, Rachel Perry	HBR Emotional Intelligence Series		Business & Careers, Management & Leadership, Leadership, Business & Careers, Personal Success, Health & Wellness, Psychology & Mental Health, Psychology, Parenting & Relationships, Self-Help, Success	106	False	0.0	4.1	10	2025-03-17T03:04:08.000Z	2020-12-22	https://m.media-amazon.com/images/I/414Y6LGmQ5L._SL500_.jpg	2025-03-17T03:04:08.000Z
1663710651	Mindfulness	HBR Emotional Intelligence Series		Harvard Business Review	Daniel Henning, Rachel Perry	HBR Emotional Intelligence Series		Business & Careers, Management & Leadership, Leadership, Business & Careers, Personal Success, Parenting & Relationships, Self-Help, Success	101	False	0.0	4.2	18	2025-03-17T03:04:10.000Z	2020-12-22	https://m.media-amazon.com/images/I/41nnuaiwpwL._SL500_.jpg	2025-03-17T03:04:10.000Z
1663710678	Happiness	HBR Emotional Intelligence Series		Harvard Business Review	Daniel Henning, Rachel Perry	HBR Emotional Intelligence Series		Business & Careers, Personal Success, Parenting & Relationships, Self-Help, Success	149	False	0.0	4.1	17	2025-03-17T03:04:06.000Z	2020-12-22	https://m.media-amazon.com/images/I/41ym4-raZQL._SL500_.jpg	2025-03-17T03:04:06.000Z
1663710694	Resilience	HBR Emotional Intelligence Series		Harvard Business Review	Daniel Henning, Rachel Perry	HBR Emotional Intelligence Series		Business & Careers, Management & Leadership, Leadership, Business & Careers, Personal Success, Health & Wellness, Psychology & Mental Health, Psychology, Parenting & Relationships, Self-Help, Success	124	False	0.0	4.5	85	2025-03-17T03:04:03.000Z	2020-12-22	https://m.media-amazon.com/images/I/41FzWzlww5L._SL500_.jpg	2025-03-17T03:04:03.000Z
1663710716	Harvard Business Review Emotional Intelligence Collection	Happiness, Resilience, Empathy, Mindfulness (HBR Emotional Intelligence Series)		Harvard Business Review	Daniel Henning, Rachel Perry	HBR Emotional Intelligence Series	1-4	Business & Careers, Workplace & Organisational Behaviour, Workplace Culture	481	False	0.0	4.6	13	2025-03-17T03:06:44.000Z	2020-12-29	https://m.media-amazon.com/images/I/41gJ+3WRt5L._SL500_.jpg	2025-03-17T03:06:44.000Z
1663712301	HBR's 10 Must Reads on Managing Yourself, Vol. 2	HBR's 10 Must Reads Series		Harvard Business Review	Steve Menasche, Teri Schnaubelt	HBR's 10 Must Reads series		Business & Careers, Management & Leadership, Management, Business & Careers, Management & Leadership, Leadership, Business & Careers, Personal Success, Time Management & Productivity, Business & Careers, Workplace & Organisational Behaviour, Organisational Behaviour, Business & Careers, Workplace & Organisational Behaviour, Workplace Culture	297	False	0.0	4.7	10	2024-08-14T08:55:05.000Z	2021-03-23	https://m.media-amazon.com/images/I/41vDGIOKukL._SL500_.jpg	2024-08-14T08:55:05.000Z
9354222129	How to Be a Writer			Ruskin Bond	Shubhankar			Children's Audiobooks, Biographies, Literary, Children's Audiobooks, Education & Learning, Reading & Writing	75	True	98.67	4.3	10	2021-06-01T04:38:38.370Z	2021-04-07	https://m.media-amazon.com/images/I/51ivDttlLJL._SL500_.jpg	2021-06-01T04:38:38.370Z
B01MQYCOUY	33 Strategies of War			Robert Greene	Donald Coren			Business & Careers, Personal Success, Business Communication	1650	False	5.21	4.7	66	2023-04-16T19:07:52.000Z	2015-07-22	https://m.media-amazon.com/images/I/41SDAvNO7wL._SL500_.jpg	2023-04-16T19:07:52.000Z
B01N0T6BLH	The Practicing Mind	Developing Focus and Discipline in Your Life		Thomas M. Sterner	Thomas M. Sterner			Business & Careers, Personal Success, Motivation & Self-Improvement, Parenting & Relationships, Self-Help, Success	231	False	0.43	4.6	378	2023-09-06T13:03:39.000Z	2009-12-27	https://m.media-amazon.com/images/I/51Fy2ZJjIbL._SL500_.jpg	2023-09-06T13:03:39.000Z
B01N145RIT	An Era of Darkness	The British Empire in India		Shashi Tharoor	Sagar Arya			Politics & Social Sciences, Politics & Government, Political Science, History & Theory, History, Asia, India, History, Asia, South Asia, History, Modern, 20th Century	746	False	53.08	4.4	292	2024-04-06T05:27:41.000Z	2017-01-26	https://m.media-amazon.com/images/I/61Oo70-37tL._SL500_.jpg	2024-04-06T05:27:41.000Z
B01N1UNFN7	Man's Search for Meaning			Viktor E. Frankl	Simon Vance			Politics & Social Sciences, Philosophy, Health & Wellness, Psychology & Mental Health, Psychology	284	False	3.17	4.6	1397	2023-01-20T05:42:06.000Z	2004-10-13	https://m.media-amazon.com/images/I/41QyFpuBhfL._SL500_.jpg	2023-01-20T05:42:06.000Z
B01N5HP6HL	The Art of War			Sun Tzu	Aidan Gillen			Politics & Social Sciences, Philosophy, Eastern, Politics & Social Sciences, Law, Business & Careers, Management & Leadership, Leadership, Business & Careers, Personal Success, Motivation & Self-Improvement, Literature & Fiction, Classics, History, Military, History, Asia, History, World, Parenting & Relationships, Self-Help	67	False	0.0	4.2	1109	2021-10-19T01:45:15.000Z	2015-03-31	https://m.media-amazon.com/images/I/51EE3GAdmfL._SL500_.jpg	2021-10-19T01:45:15.000Z
B01N5HQIUW	Art of Seduction	An Indispensible Primer on the Ultimate Form of Power		Robert Greene	Joseph Powers			Health & Wellness, Psychology & Mental Health, Psychology, Human Sexuality, Parenting & Relationships, Self-Help, Parenting & Relationships, Relationships, Mature Content, Sex Instruction	1371	False	9.34	4.6	158	2023-04-16T18:31:59.000Z	2015-05-01	https://m.media-amazon.com/images/I/41+FfYVLnEL._SL500_.jpg	2023-04-16T18:31:59.000Z
B01N7KKVCI	Adult Children of Emotionally Immature Parents	How to Heal from Distant, Rejecting, or Self-Involved Parents		Lindsay C. Gibson PsyD	Marguerite Gavin			Health & Wellness, Psychology & Mental Health, Psychology, Psychotherapy, Health & Wellness, Psychology & Mental Health, Mental Health, Parenting & Relationships, Self-Help, Success, Parenting & Relationships, Parenting, Parents & Adult Children, Parenting & Relationships, Parenting, Dysfunctional Families	410	False	11.95	4.9	79	2023-02-04T02:22:30.000Z	2016-05-10	https://m.media-amazon.com/images/I/513IGk0PimL._SL500_.jpg	2023-02-04T02:22:30.000Z
B01N9JVGZM	48 Laws of Power			Robert Greene	Richard Poe			Politics & Social Sciences, Philosophy, Ethics & Morality, Politics & Social Sciences, Politics & Government, Political Science, History & Theory, History, World	1386	False	0.0	4.7	587	2023-04-16T18:31:50.000Z	2015-05-01	https://m.media-amazon.com/images/I/41dTDMW9IhL._SL500_.jpg	2023-04-16T18:31:50.000Z
B01NCMMQRM	A History of British India			The Great Courses, Hayden J. Bellenoit	Hayden J. Bellenoit	The Great Courses: Modern History		History, World	731	False	0.0	4.5	161	2023-11-06T02:54:37.000Z	2017-01-06	https://m.media-amazon.com/images/I/51pzfvAsCHL._SL500_.jpg	2023-11-06T02:54:37.000Z
B01NCO21DU	The Great Gatsby			F. Scott Fitzgerald	Jake Gyllenhaal			Literature & Fiction, Classics, Literature & Fiction, Genre Fiction, Movie, TV & Video Game Tie-Ins, Literature & Fiction, Genre Fiction, Literary Fiction, Romance, Contemporary	289	False	16.26	4.3	496	2023-07-25T16:03:27.000Z	2013-04-09	https://m.media-amazon.com/images/I/51khTykACTL._SL500_.jpg	2023-07-25T16:03:27.000Z
B01NCOGYVL	The Bipolar Disorder Survival Guide	What You and Your Family Need to Know		David J. Miklowitz	Kris Koscheski			Politics & Social Sciences, Social Sciences, Health & Wellness, Medicine & Health Care Industry, Health & Wellness, Psychology & Mental Health, Psychology, Health & Wellness, Psychology & Mental Health, Mental Health, Mood Disorders	793	False	24.09	4.3	3	2022-09-21T17:45:26.524Z	2013-05-06	https://m.media-amazon.com/images/I/51mesuLqPzL._SL500_.jpg	2022-09-21T17:45:26.524Z
B06WRT8ZTS	Sherlock Holmes: The Definitive Collection			Stephen Fry - introductions, Arthur Conan Doyle	Stephen Fry	Sherlock Holmes	1-6	Mystery, Thriller & Suspense, Mystery, Private Investigators, Mystery, Thriller & Suspense, Mystery, Traditional Detectives, Literature & Fiction, Classics	4317	False	9.13	4.9	1116	2018-12-17T08:35:52.351Z	2017-02-27	https://m.media-amazon.com/images/I/51Sdo-tcpnL._SL500_.jpg	2018-12-17T08:35:52.351Z
B06WW85WTL	Feeling Good	The New Mood Therapy		David D. Burns MD	George Newbern			Health & Wellness, Psychology & Mental Health, Psychology, Health & Wellness, Psychology & Mental Health, Mental Health, Mood Disorders, Parenting & Relationships, Self-Help, Self-Esteem, Parenting & Relationships, Relationships, Friendship	800	False	42.12	4.5	35	2023-04-16T19:14:40.665Z	2017-03-21	https://m.media-amazon.com/images/I/51ixV6lf9AL._SL500_.jpg	2023-04-16T19:14:40.665Z
B06WWN96LC	Norse Mythology			Neil Gaiman	Neil Gaiman			Literature & Fiction, Science Fiction & Fantasy, Fantasy, Fairy Tales	389	False	0.0	4.6	484	2021-06-25T13:04:25.265Z	2017-02-24	https://m.media-amazon.com/images/I/61p28xCRQoL._SL500_.jpg	2021-06-25T13:04:25.265Z
B071952L2Q	Cosmos	A Personal Voyage		Carl Sagan	LeVar Burton, Seth MacFarlane, Neil deGrasse Tyson, Ann Druyan			Science & Engineering, Science, Physics, Science & Engineering, Science, Biological Sciences, Science & Engineering, Science, Earth Sciences, Science & Engineering, Science, Astronomy & Space Science, Science & Engineering, Science, Astronomy & Space Science	871	False	9.99	4.8	306	2020-10-23T09:53:05.632Z	2017-05-30	https://m.media-amazon.com/images/I/51e91glnHUL._SL500_.jpg	2020-10-23T09:53:05.632Z
B0788ZVXL9	No More Mr. Nice Guy	A Proven Plan for Getting What You Want in Love, Sex and Life (Updated)		Dr Robert Glover	Dr Robert Glover			Parenting & Relationships, Relationships	409	False	6.36	4.6	386	2023-05-02T04:28:12.000Z	2017-12-21	https://m.media-amazon.com/images/I/51FunaYxc9L._SL500_.jpg	2023-05-02T04:28:12.000Z
B078Z5YC15	Crossroads of Twilight	Book Ten of The Wheel of Time		Robert Jordan	Kate Reading, Michael Kramer	The Wheel of Time	10	Science Fiction & Fantasy, Fantasy, Epic, Science Fiction & Fantasy, Fantasy, Action & Adventure	1564	False	0.0	3.9	46	2025-04-07T11:40:00.945Z	2003-01-17	https://m.media-amazon.com/images/I/51vk0weCG0L._SL500_.jpg	2025-04-07T11:40:00.945Z
B0793D7365	The Dragon Reborn	Book Three of The Wheel of Time		Robert Jordan	Kate Reading, Michael Kramer	The Wheel of Time	3	Science Fiction & Fantasy, Fantasy, Epic, Science Fiction & Fantasy, Fantasy, Action & Adventure	1488	False	98.39	4.7	86	2021-11-10T03:18:17.769Z	2003-12-28	https://m.media-amazon.com/images/I/51mcAFVS4fL._SL500_.jpg	2021-11-10T03:18:17.769Z
B079B59VKY	The Daily Stoic	366 Meditations on Wisdom, Perseverance, and the Art of Living		Ryan Holiday, Stephen Hanselman	Brian Holsopple			Politics & Social Sciences, Philosophy, History, Politics & Social Sciences, Philosophy, Greek & Roman, Business & Careers, Personal Success, Motivation & Self-Improvement, Parenting & Relationships, Self-Help, Success	606	False	95.21	4.7	83	2022-09-03T07:07:14.174Z	2016-10-18	https://m.media-amazon.com/images/I/514WgltUohL._SL500_.jpg	2022-09-03T07:07:14.174Z
B079BCHG7K	Self-Compassion Step by Step	The Proven Power of Being Kind to Yourself		Kristin Neff	Kristin Neff PhD			Health & Wellness, Alternative & Complementary Medicine, Meditation, Parenting & Relationships, Self-Help, Success	400	False	34.0	4.9	9	2024-06-06T11:34:20.531Z	2013-06-26	https://m.media-amazon.com/images/I/51un2TE9SpL._SL500_.jpg	2024-06-06T11:34:20.531Z
B079BD2VFV	The Decline and Fall of the Roman Empire			Edward Gibbon	Charlton Griffin			History, Ancient, Rome, History, World, Civilisation	7591	False	0.57	4.7	3	2019-02-05T07:19:49.851Z	2015-04-21	https://m.media-amazon.com/images/I/517uJiaXOoL._SL500_.jpg	2019-02-05T07:19:49.851Z
B079BG853Q	The Extraordinary Adventures of Arsene Lupin, Gentleman Burglar [Classic Tales Edition]			Maurice Leblanc	B.J. Harrison	Arsène Lupin	1	Mystery, Thriller & Suspense, Mystery, Anthologies & Short Stories, Mystery, Thriller & Suspense, Mystery, Traditional Detectives, Mystery, Thriller & Suspense, Mystery, International Mystery & Crime, Literature & Fiction, Anthologies & Short Stories, Anthologies, Literature & Fiction, Classics	372	False	0.0	4.4	493	2021-07-07T09:48:57.749Z	2015-08-25	https://m.media-amazon.com/images/I/61FPdZ4OzAL._SL500_.jpg	2021-07-07T09:48:57.749Z
B079CG74RL	An Economic History of the World since 1400			Donald J. Harreld, The Great Courses	Donald J. Harreld	The Great Courses: Business & Economics		Money & Finance, Economics, History, World	1465	False	0.0	4.7	103	2023-11-06T02:55:03.000Z	2016-08-19	https://m.media-amazon.com/images/I/51yqJ9RuBgL._SL500_.jpg	2023-11-06T02:55:03.000Z
B079J3VN3J	The Brothers Karamazov [Naxos AudioBooks Edition]			Constance Garnett - translator, Fyodor Dostoevsky	Constantine Gregory			Literature & Fiction, Classics, Literature & Fiction, Genre Fiction, Literary Fiction, Literature & Fiction, Genre Fiction, War & Military	2224	False	0.13	4.6	56	2022-03-03T13:01:43.000Z	2012-12-30	https://m.media-amazon.com/images/I/51DpA-g11JL._SL500_.jpg	2022-03-03T13:01:43.000Z
B079SKQZYZ	Les Misérables			Victor Hugo	Bill Homewood			Literature & Fiction, Classics, Literature & Fiction, Historical, Literature & Fiction, Genre Fiction, Sagas, Literature & Fiction, Genre Fiction, Literary Fiction	4073	False	0.12	3.7	3	2019-01-13T16:02:53.923Z	2015-04-29	https://m.media-amazon.com/images/I/613FCU-5u-L._SL500_.jpg	2019-01-13T16:02:53.923Z
B079TKVWDQ	The Shadow Rising	Book Four of The Wheel of Time		Robert Jordan	Kate Reading, Michael Kramer	The Wheel of Time	4	Science Fiction & Fantasy, Fantasy, Epic	2473	True	9.99	4.7	88	2022-03-21T17:24:59.218Z	2003-12-28	https://m.media-amazon.com/images/I/51q3FzspIQL._SL500_.jpg	2022-03-21T17:24:59.218Z
B079TLLXYX	The Great Hunt	Book Two of The Wheel Of Time		Robert Jordan	Kate Reading, Michael Kramer	The Wheel of Time	2	Science Fiction & Fantasy, Fantasy, Epic, Science Fiction & Fantasy, Fantasy, Action & Adventure	1594	True	62.92	4.7	94	2021-10-05T02:52:27.987Z	2003-12-28	https://m.media-amazon.com/images/I/51OSpV9NnsL._SL500_.jpg	2021-10-05T02:52:27.987Z
B079TN3JQZ	Lord of Chaos	Book Six of The Wheel of Time		Robert Jordan	Kate Reading, Michael Kramer	The Wheel of Time	6	Science Fiction & Fantasy, Fantasy, Epic, Science Fiction & Fantasy, Fantasy, Action & Adventure	2492	False	0.0	4.8	67	2024-04-06T05:30:21.538Z	2004-12-26	https://m.media-amazon.com/images/I/515u1LtI9uL._SL500_.jpg	2024-04-06T05:30:21.538Z
B079TN3VGM	The Eye of the World	Book One of The Wheel of Time		Robert Jordan	Kate Reading, Michael Kramer	The Wheel of Time	1	Science Fiction & Fantasy, Fantasy, Epic	1797	False	8.07	4.6	115	2021-09-27T11:40:06.824Z	2006-12-31	https://m.media-amazon.com/images/I/516PPlGGZML._SL500_.jpg	2021-09-27T11:40:06.824Z
B079TP4Q4K	Path of Daggers	Book Eight of The Wheel of Time		Robert Jordan	Michael Kramer, Kate Reading	The Wheel of Time	8	Science Fiction & Fantasy, Fantasy, Epic, Science Fiction & Fantasy, Fantasy, Action & Adventure	1405	False	0.0	4.3	43	2023-09-06T13:04:53.043Z	2008-11-11	https://m.media-amazon.com/images/I/51yCXmohJjL._SL500_.jpg	2023-09-06T13:04:53.043Z
B079V61CW1	New Spring	The Wheel of Time Prequel		Robert Jordan	Kate Reading, Michael Kramer	The Wheel of Time	0	Science Fiction & Fantasy, Fantasy, Epic, Science Fiction & Fantasy, Fantasy, Action & Adventure	758	False	0.0	4.6	33	2024-04-06T05:29:57.468Z	2003-12-28	https://m.media-amazon.com/images/I/51I0mNibihL._SL500_.jpg	2024-04-06T05:29:57.468Z
B079VQZD5B	Rapt	Attention and the Focused Life		Winifred Gallagher	Laural Merlington			Health & Wellness, Psychology & Mental Health, Psychology, Social Psychology & Interactions, Parenting & Relationships, Self-Help, Success	465	False	15.05	4.3	12	2023-05-04T04:00:44.052Z	2009-04-16	https://m.media-amazon.com/images/I/41tZmLFiaYL._SL500_.jpg	2023-05-04T04:00:44.052Z
B079WXF1QG	The Fires of Heaven	Book Five of The Wheel of Time		Robert Jordan	Kate Reading, Michael Kramer	The Wheel of Time	5	Science Fiction & Fantasy, Fantasy, Epic	2187	False	0.0	4.7	62	2023-09-06T13:05:08.484Z	2004-12-26	https://m.media-amazon.com/images/I/51Sh0soMKOL._SL500_.jpg	2023-09-06T13:05:08.484Z
B079X4ZZ42	Matilda	Narrated by Kate Winslet		Roald Dahl	Kate Winslet	The Roald Dahl Classic Collection		Children's Audiobooks, Growing Up & Facts of Life, Family Life, Children's Audiobooks, Growing Up & Facts of Life, Social & Life Skills, Children's Audiobooks, Literature & Fiction, Family Life, Children's Audiobooks, Literature & Fiction, Classics, Children's Audiobooks, Science Fiction & Fantasy, Fantasy & Magic	258	False	9.3	4.8	230	2018-11-08T05:17:41.090Z	2014-09-11	https://m.media-amazon.com/images/I/41aQJM+mWdL._SL500_.jpg	2018-11-08T05:17:41.090Z
B079X8NNP3	Debt - Updated and Expanded	The First 5,000 Years		David Graeber	Grover Gardner			Politics & Social Sciences, Anthropology, Money & Finance, Economics, Theory, Money & Finance, Economics, Economic History, History, Ancient, History, World	1068	False	23.03	4.7	62	2024-11-22T07:45:24.000Z	2015-09-15	https://m.media-amazon.com/images/I/51udTwX1UxL._SL500_.jpg	2024-11-22T07:45:24.000Z
